year,month,day,hour,minute,sec,milsec,kp,na
2004,2,22,12,0,0,0,3,8
2004,2,22,15,0,0,0,2,5
2004,2,22,18,0,0,0,3-,7
2004,2,22,21,0,0,0,3-,7
2004,2,23,0,0,0,0,2+,6
2004,2,23,3,0,0,0,2+,6
2004,2,23,6,0,0,0,2-,4
2004,2,23,9,0,0,0,2+,6
2004,2,23,12,0,0,0,2+,6
2004,2,23,15,0,0,0,2+,6
2004,2,23,18,0,0,0,2+,6
2004,2,23,21,0,0,0,3-,7
2004,2,24,0,0,0,0,3+,9
2004,2,24,3,0,0,0,3-,7
2004,2,24,6,0,0,0,2+,6
2004,2,24,9,0,0,0,2,5
2004,2,24,12,0,0,0,2,5
2004,2,24,15,0,0,0,2+,6
2004,2,24,18,0,0,0,3-,7
2004,2,24,21,0,0,0,3,8
2004,2,25,0,0,0,0,2+,6
2004,2,25,3,0,0,0,2-,4
2004,2,25,6,0,0,0,1,2
2004,2,25,9,0,0,0,2-,4
2004,2,25,12,0,0,0,2-,4
2004,2,25,15,0,0,0,0+,0
2004,2,25,18,0,0,0,2-,4
2004,2,25,21,0,0,0,2+,6
2004,2,26,0,0,0,0,2-,4
2004,2,26,3,0,0,0,1+,3
2004,2,26,6,0,0,0,0+,0
2004,2,26,9,0,0,0,0+,0
2004,2,26,12,0,0,0,1,2
2004,2,26,15,0,0,0,0,-1
2004,2,26,18,0,0,0,0+,0
2004,2,26,21,0,0,0,1-,1
2004,2,27,0,0,0,0,1,2
2004,2,27,3,0,0,0,4-,10
2004,2,27,6,0,0,0,2-,4
2004,2,27,9,0,0,0,2+,6
2004,2,27,12,0,0,0,2-,4
2004,2,27,15,0,0,0,1+,3
2004,2,27,18,0,0,0,4,11
2004,2,27,21,0,0,0,3+,9
2004,2,28,0,0,0,0,2-,4
2004,2,28,3,0,0,0,3+,9
2004,2,28,6,0,0,0,4,11
2004,2,28,9,0,0,0,3+,9
2004,2,28,12,0,0,0,3,8
2004,2,28,15,0,0,0,3+,9
2004,2,28,18,0,0,0,4-,10
2004,2,28,21,0,0,0,4,11
2004,2,29,0,0,0,0,2,5
2004,2,29,3,0,0,0,3+,9
2004,2,29,6,0,0,0,3-,7
2004,2,29,9,0,0,0,5+,15
2004,2,29,12,0,0,0,4+,12
2004,2,29,15,0,0,0,3,8
2004,2,29,18,0,0,0,4-,10
2004,2,29,21,0,0,0,4+,12
2004,3,1,0,0,0,0,3+,9
2004,3,1,3,0,0,0,2+,6
2004,3,1,6,0,0,0,3,8
2004,3,1,9,0,0,0,2+,6
2004,3,1,12,0,0,0,3+,9
2004,3,1,15,0,0,0,5-,13
2004,3,1,18,0,0,0,4,11
2004,3,1,21,0,0,0,4+,12
2004,3,2,0,0,0,0,4+,12
2004,3,2,3,0,0,0,3,8
2004,3,2,6,0,0,0,4+,12
2004,3,2,9,0,0,0,2+,6
2004,3,2,12,0,0,0,3,8
2004,3,2,15,0,0,0,3,8
2004,3,2,18,0,0,0,4,11
2004,3,2,21,0,0,0,4-,10
2004,3,3,0,0,0,0,2,5
2004,3,3,3,0,0,0,2+,6
2004,3,3,6,0,0,0,2,5
2004,3,3,9,0,0,0,4+,12
2004,3,3,12,0,0,0,3+,9
2004,3,3,15,0,0,0,3-,7
2004,3,3,18,0,0,0,3-,7
2004,3,3,21,0,0,0,1+,3
