year,month,day,hour,minute,second,microsecond,latitude,longitude,magnitude,depth
2004,3,11,2,16,0,780000,-32.314,-178.063,5.4,10.0
2004,3,12,9,27,41,530000,-30.61,-71.867,4.8,30.5
2004,3,12,20,30,46,930000,5.595,-32.956,5.2,10.0
2004,3,13,2,6,36,730000,15.908,144.99,5.3,17.2
2004,3,13,14,2,29,210000,18.05,-103.373,5.1,30.1
2004,3,14,14,7,56,240000,-10.403,34.426,4.8,10.0
2004,3,14,15,50,34,480000,-32.285,-178.369,5.6,10.0
2004,3,14,16,30,42,320000,-17.267,-172.316,6.1,12.0
2004,3,16,6,9,22,820000,-32.218,-177.878,5.1,10.0
2004,3,16,6,11,30,110000,-32.042,-177.965,4.9,10.0
2004,3,16,21,23,19,860000,37.558,96.668,5.2,14.3
2004,3,17,5,21,0,800000,34.589,23.326,6.1,24.5
2004,3,17,6,40,57,170000,-7.043,-13.012,5.3,10.0
2004,3,17,13,15,48,930000,-32.104,-178.137,5.2,10.0
2004,3,17,14,54,7,910000,16.547,-46.505,4.8,10.0
2004,3,17,16,49,45,560000,-32.01,-66.699,5.5,31.7
2004,3,18,0,45,32,440000,-30.555,-177.672,4.8,10.0
2004,3,18,7,4,35,440000,42.298,144.531,5.1,38.3
2004,3,18,11,22,46,800000,-23.296,-175.534,4.9,10.0
2004,3,18,17,58,51,310000,-23.765,-176.076,4.9,35.0
2004,3,18,20,4,24,830000,-23.759,-176.002,6.2,10.0
2004,3,18,20,48,52,640000,-23.338,-176.238,4.9,35.0
2004,3,18,23,9,42,950000,32.354,-40.166,5.4,10.0
2004,3,18,23,14,56,240000,-23.668,-176.066,5.1,10.0
2004,3,19,6,1,59,590000,-20.413,-70.201,5.4,33.1
2004,3,19,13,19,4,740000,-5.949,150.738,4.8,26.8
2004,3,19,16,9,18,360000,-34.907,54.386,5.1,10.0
2004,3,19,18,25,25,860000,-34.725,55.166,5.2,10.0
2004,3,19,18,35,0,900000,-34.53,55.212,5.1,10.0
2004,3,19,19,8,49,810000,-34.419,55.173,4.8,10.0
2004,3,19,19,39,16,930000,-34.643,54.928,5.3,10.0
2004,3,19,20,42,0,310000,-34.5,55.28,5.7,10.0
2004,3,19,21,8,20,680000,-34.427,55.197,5.4,10.0
2004,3,20,0,0,21,460000,-23.962,-175.984,5.3,10.0
2004,3,20,0,10,42,140000,-23.88,-175.962,5.0,10.0
2004,3,20,11,43,55,580000,7.055,126.898,4.8,10.0
2004,3,21,10,34,11,790000,-24.173,-175.872,5.1,38.5
2004,3,21,14,6,45,620000,-32.4,-178.158,4.9,10.0
2004,3,22,4,22,58,450000,-22.938,-64.359,5.8,16.0
2004,3,22,12,22,18,300000,-24.474,-175.891,4.9,40.0
2004,3,22,19,33,53,760000,54.213,-164.269,4.8,30.1
2004,3,23,2,58,21,960000,17.726,-43.962,4.8,10.0
2004,3,23,4,20,11,750000,-17.859,-173.1,4.8,10.0
2004,3,23,8,23,48,450000,13.931,145.251,4.9,35.8
2004,3,23,12,38,30,520000,43.291,19.733,4.8,3.1
2004,3,23,19,4,51,950000,-29.579,-176.185,5.0,20.0
2004,3,23,21,20,39,670000,18.774,144.735,5.5,27.1
2004,3,23,21,57,7,480000,18.788,144.764,5.7,29.6
2004,3,23,21,59,35,750000,18.813,144.87,4.9,20.0
2004,3,24,1,53,49,430000,45.382,118.256,5.5,18.8
2004,3,24,6,53,49,560000,-32.289,-178.016,4.9,8.9
2004,3,25,2,18,48,150000,2.489,125.855,4.9,10.0
2004,3,25,7,0,54,170000,-5.109,101.942,4.8,27.5
2004,3,25,14,54,22,980000,-18.557,-174.854,5.1,10.0
2004,3,25,19,30,49,40000,39.93,40.812,5.6,10.0
2004,3,26,12,11,29,460000,-2.564,68.464,5.2,10.0
2004,3,26,15,20,6,620000,41.863,144.209,5.8,22.4
2004,3,26,16,26,38,80000,41.81,144.303,5.0,12.8
2004,3,26,18,48,43,900000,-30.923,-178.62,4.9,10.0
2004,3,27,0,43,7,890000,39.959,69.231,5.0,20.9
2004,3,27,18,45,26,380000,33.962,89.235,5.4,10.0
2004,3,27,18,47,11,950000,34.006,89.235,5.0,10.0
2004,3,27,18,47,29,200000,33.954,89.179,6.0,8.0
2004,3,27,20,5,53,560000,33.931,89.292,5.0,21.4
2004,3,27,23,21,4,160000,11.278,124.451,5.4,10.0
2004,3,28,1,23,32,850000,-10.182,-73.527,5.2,36.1
2004,3,28,3,51,10,50000,39.847,40.874,5.6,5.0
2004,3,28,8,41,14,420000,-1.042,-78.335,5.3,12.6
2004,3,28,22,5,41,890000,34.132,89.275,5.2,10.0
2004,3,28,22,27,27,540000,33.957,89.265,5.1,11.9
2004,3,29,2,50,14,520000,-7.59,119.419,4.8,35.0
2004,3,30,11,31,42,920000,-50.024,114.318,4.8,10.0
2004,4,1,23,53,26,970000,3.462,126.696,4.9,10.0
2004,4,2,5,27,9,880000,41.823,144.299,4.8,32.8
2004,4,2,15,41,30,430000,-0.01,124.932,5.6,24.6
2004,4,2,21,45,11,670000,29.804,127.507,4.8,24.6
2004,4,3,3,14,48,460000,17.633,-44.019,5.0,10.0
2004,4,3,9,5,58,590000,-3.1,127.336,4.9,25.4
2004,4,3,9,56,58,880000,37.201,142.056,4.8,20.7
2004,4,3,9,57,13,130000,-29.987,-71.985,5.5,34.5
2004,4,3,10,10,4,880000,13.806,51.549,5.0,10.0
2004,4,3,13,29,32,290000,-20.535,-174.06,5.8,2.2
2004,4,3,23,2,0,870000,36.428,141.008,6.0,31.0
2004,4,4,18,4,34,710000,-3.425,-12.277,5.4,10.0
2004,4,5,2,56,36,600000,26.063,128.522,4.8,27.2
2004,4,5,8,57,2,490000,-23.525,-175.45,5.8,32.3
2004,4,5,14,27,35,580000,-32.019,-177.806,5.4,10.0
2004,4,5,16,52,58,890000,-1.298,137.928,5.3,30.0
2004,4,5,18,40,3,770000,-22.162,170.645,5.1,10.0
2004,4,5,19,7,3,310000,-5.563,101.194,4.9,34.5
2004,4,5,20,34,21,930000,-20.436,-173.936,6.2,8.0
2004,4,6,4,48,58,570000,-25.816,69.417,4.8,10.0
2004,4,6,7,16,1,880000,-19.548,168.833,4.8,39.8
2004,4,6,10,30,32,320000,33.944,89.2,5.1,4.1
2004,4,6,10,35,1,380000,-25.47,70.047,4.8,10.0
2004,4,6,19,27,59,270000,-16.102,178.16,4.8,30.0
2004,4,6,21,40,0,850000,52.803,-34.729,5.4,10.0
2004,4,7,14,49,52,530000,-9.307,67.087,5.3,10.0
2004,4,7,20,23,10,700000,8.902,-84.126,5.5,12.8
2004,4,8,2,15,32,220000,-26.928,-176.801,4.9,30.0
2004,4,8,2,42,0,400000,-26.81,-107.242,4.8,10.0
2004,4,8,4,0,39,440000,-33.565,-178.671,4.8,10.0
